ac_no,ac_name,district,state,region,reserved_for,candidate_name,party,alliance,is_incumbent,education,profession,age,gender,assets,liabilities,criminal_cases,literacy,community,eci_approved,party_approved,nomination_status,nomination_date,affidavit_url,eci_candidate_id,contact,website,x_handle,source,predicted_winner
5,Constituency #5,Pudukkottai,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣33.4 Cr,,0,85.80191360381392,,False,False,,,,,,,,curated,SPA
5,Constituency #5,Pudukkottai,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣20.4 Cr,,0,85.20299948809019,,False,False,,,,,,,,curated,SPA
6,Constituency #6,Dindigul,Tamil Nadu,SOUTH,GEN,SPA Nominee,INC,SPA,False,12th Pass,,,,Γé╣5.1 Cr,,1,87.09884373771916,,False,False,,,,,,,,curated,NDA
6,Constituency #6,Dindigul,Tamil Nadu,SOUTH,GEN,NDA Nominee,BJP,NDA,True,12th Pass,,,,Γé╣43.6 Cr,,0,88.69223436064124,,False,False,,,,,,,,curated,NDA
6,Constituency #6,Dindigul,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣14.0 Cr,,0,86.7614282931361,,False,False,,,,,,,,curated,NDA
6,Constituency #6,Dindigul,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣45.0 Cr,,2,85.92129000219602,,False,False,,,,,,,,curated,NDA
7,Constituency #7,Ariyalur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣10.3 Cr,,2,85.3793452191523,,False,False,,,,,,,,curated,NDA
7,Constituency #7,Ariyalur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣22.1 Cr,,0,92.00277921740955,,False,False,,,,,,,,curated,NDA
7,Constituency #7,Ariyalur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣36.0 Cr,,1,89.53691907597471,,False,False,,,,,,,,curated,NDA
7,Constituency #7,Ariyalur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣33.1 Cr,,0,92.00749181337878,,False,False,,,,,,,,curated,NDA
8,Constituency #8,Karur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣38.5 Cr,,2,90.6096263403601,,False,False,,,,,,,,curated,NDA
8,Constituency #8,Karur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣47.8 Cr,,1,86.45976149304305,,False,False,,,,,,,,curated,NDA
8,Constituency #8,Karur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣37.0 Cr,,1,93.82847589638278,,False,False,,,,,,,,curated,NDA
8,Constituency #8,Karur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣12.5 Cr,,2,94.59205175593141,,False,False,,,,,,,,curated,NDA
9,Constituency #9,Thiruvarur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,VCK,SPA,False,12th Pass,,,,Γé╣12.9 Cr,,1,93.81572918072632,,False,False,,,,,,,,curated,NDA
9,Constituency #9,Thiruvarur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣47.3 Cr,,2,88.83300601322546,,False,False,,,,,,,,curated,NDA
9,Constituency #9,Thiruvarur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣20.1 Cr,,0,94.66649869345932,,False,False,,,,,,,,curated,NDA
9,Constituency #9,Thiruvarur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣12.7 Cr,,0,90.90188332823321,,False,False,,,,,,,,curated,NDA
10,Constituency #10,Krishnagiri,Tamil Nadu,WEST,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣20.6 Cr,,2,93.26925217526363,,False,False,,,,,,,,curated,NDA
10,Constituency #10,Krishnagiri,Tamil Nadu,WEST,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣18.7 Cr,,1,92.02266752382629,,False,False,,,,,,,,curated,NDA
10,Constituency #10,Krishnagiri,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣31.0 Cr,,1,89.83115845101534,,False,False,,,,,,,,curated,NDA
10,Constituency #10,Krishnagiri,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣37.9 Cr,,1,90.27675912290506,,False,False,,,,,,,,curated,NDA
11,Constituency #11,The Nilgiris,Tamil Nadu,WEST,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣27.8 Cr,,2,89.50462363662515,,False,False,,,,,,,,curated,NDA
11,Constituency #11,The Nilgiris,Tamil Nadu,WEST,GEN,NDA Nominee,PMK,NDA,True,12th Pass,,,,Γé╣49.4 Cr,,1,86.30566326136544,,False,False,,,,,,,,curated,NDA
11,Constituency #11,The Nilgiris,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣3.6 Cr,,2,91.58093497031219,,False,False,,,,,,,,curated,NDA
11,Constituency #11,The Nilgiris,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣11.0 Cr,,2,87.62941329064722,,False,False,,,,,,,,curated,NDA
12,Kolathur,Chennai,Tamil Nadu,CHENNAI,GEN,M. K. Stalin,DMK,SPA,True,Graduate,,,,Γé╣33.6 Cr,,0,87.52884242264872,,False,False,,,,,,,,curated,SPA
12,Kolathur,Chennai,Tamil Nadu,CHENNAI,GEN,AIADMK Nominee,AIADMK,NDA,False,Graduate,,,,Γé╣40.8 Cr,,0,92.57384680443398,,False,False,,,,,,,,curated,SPA
12,Kolathur,Chennai,Tamil Nadu,CHENNAI,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣49.6 Cr,,2,89.05695218401243,,False,False,,,,,,,,curated,SPA
12,Kolathur,Chennai,Tamil Nadu,CHENNAI,GEN,Seeman,NTK,NTK,False,12th Pass,,,,Γé╣6.5 Cr,,1,92.02493096550748,,False,False,,,,,,,,curated,SPA
13,Constituency #13,Villupuram,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣3.2 Cr,,2,90.03179208019122,,False,False,,,,,,,,curated,NDA
13,Constituency #13,Villupuram,Tamil Nadu,NORTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣29.6 Cr,,0,90.69305547370585,,False,False,,,,,,,,curated,NDA
13,Constituency #13,Villupuram,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣26.9 Cr,,0,87.14279740976535,,False,False,,,,,,,,curated,NDA
13,Constituency #13,Villupuram,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣47.9 Cr,,0,85.59433221580476,,False,False,,,,,,,,curated,NDA
14,Constituency #14,Tiruvannamalai,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣44.4 Cr,,2,85.9888601594365,,False,False,,,,,,,,curated,NDA
14,Constituency #14,Tiruvannamalai,Tamil Nadu,NORTH,GEN,NDA Nominee,BJP,NDA,True,12th Pass,,,,Γé╣15.4 Cr,,2,93.09523257192876,,False,False,,,,,,,,curated,NDA
14,Constituency #14,Tiruvannamalai,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣48.5 Cr,,1,90.60482268067673,,False,False,,,,,,,,curated,NDA
14,Constituency #14,Tiruvannamalai,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣23.6 Cr,,2,94.75511717338873,,False,False,,,,,,,,curated,NDA
15,Constituency #15,Vellore,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣31.1 Cr,,0,91.97970885370728,,False,False,,,,,,,,curated,SPA
15,Constituency #15,Vellore,Tamil Nadu,NORTH,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣11.6 Cr,,0,92.17550495393591,,False,False,,,,,,,,curated,SPA
15,Constituency #15,Vellore,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣36.4 Cr,,2,90.25182456282147,,False,False,,,,,,,,curated,SPA
15,Constituency #15,Vellore,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣39.0 Cr,,0,90.16933373410339,,False,False,,,,,,,,curated,SPA
16,Constituency #16,Tirupattur,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣38.3 Cr,,2,87.39648030867897,,False,False,,,,,,,,curated,SPA
16,Constituency #16,Tirupattur,Tamil Nadu,NORTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣16.2 Cr,,1,86.78497920549923,,False,False,,,,,,,,curated,SPA
16,Constituency #16,Tirupattur,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣1.1 Cr,,2,91.04473145102601,,False,False,,,,,,,,curated,SPA
16,Constituency #16,Tirupattur,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣42.2 Cr,,2,86.1293140000793,,False,False,,,,,,,,curated,SPA
17,Constituency #17,Tiruvallur,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣26.2 Cr,,1,86.10121377093652,,False,False,,,,,,,,curated,NDA
17,Constituency #17,Tiruvallur,Tamil Nadu,NORTH,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣44.6 Cr,,1,86.22923304402548,,False,False,,,,,,,,curated,NDA
17,Constituency #17,Tiruvallur,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣22.3 Cr,,0,90.85090483628557,,False,False,,,,,,,,curated,NDA
17,Constituency #17,Tiruvallur,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣38.4 Cr,,0,85.87051120228185,,False,False,,,,,,,,curated,NDA
18,Constituency #18,Tirunelveli,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣6.1 Cr,,0,90.86481412826699,,False,False,,,,,,,,curated,SPA
18,Constituency #18,Tirunelveli,Tamil Nadu,SOUTH,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣42.8 Cr,,1,87.00212629345883,,False,False,,,,,,,,curated,SPA
18,Constituency #18,Tirunelveli,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣5.4 Cr,,1,86.01231399160558,,False,False,,,,,,,,curated,SPA
18,Constituency #18,Tirunelveli,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣48.2 Cr,,0,93.82618465268898,,False,False,,,,,,,,curated,SPA
19,Constituency #19,Thoothukudi,Tamil Nadu,SOUTH,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣26.8 Cr,,2,90.27981006708615,,False,False,,,,,,,,curated,SPA
19,Constituency #19,Thoothukudi,Tamil Nadu,SOUTH,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣48.2 Cr,,0,90.74558170384663,,False,False,,,,,,,,curated,SPA
19,Constituency #19,Thoothukudi,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣33.1 Cr,,0,88.40633372353969,,False,False,,,,,,,,curated,SPA
19,Constituency #19,Thoothukudi,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣11.4 Cr,,0,93.54362246544925,,False,False,,,,,,,,curated,SPA
20,Constituency #20,Sivaganga,Tamil Nadu,SOUTH,GEN,SPA Nominee,INC,SPA,False,12th Pass,,,,Γé╣10.7 Cr,,2,91.03684559144979,,False,False,,,,,,,,curated,NDA
20,Constituency #20,Sivaganga,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣7.8 Cr,,1,89.68939543848273,,False,False,,,,,,,,curated,NDA
20,Constituency #20,Sivaganga,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣47.7 Cr,,1,86.40452182636339,,False,False,,,,,,,,curated,NDA
20,Constituency #20,Sivaganga,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣50.9 Cr,,2,87.06028475967183,,False,False,,,,,,,,curated,NDA
21,Constituency #21,Virudhunagar,Tamil Nadu,SOUTH,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣22.6 Cr,,1,90.16924324363477,,False,False,,,,,,,,curated,SPA
21,Constituency #21,Virudhunagar,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣2.6 Cr,,1,89.11284085229491,,False,False,,,,,,,,curated,SPA
21,Constituency #21,Virudhunagar,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣27.3 Cr,,0,87.61648404127395,,False,False,,,,,,,,curated,SPA
21,Constituency #21,Virudhunagar,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣45.6 Cr,,1,90.3758324327423,,False,False,,,,,,,,curated,SPA
22,Constituency #22,Madurai,Tamil Nadu,SOUTH,GEN,SPA Nominee,VCK,SPA,False,12th Pass,,,,Γé╣36.6 Cr,,1,87.63354126594113,,False,False,,,,,,,,curated,NDA
22,Constituency #22,Madurai,Tamil Nadu,SOUTH,GEN,NDA Nominee,BJP,NDA,True,12th Pass,,,,Γé╣41.4 Cr,,2,89.91416219579453,,False,False,,,,,,,,curated,NDA
22,Constituency #22,Madurai,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣3.7 Cr,,0,91.67571732779744,,False,False,,,,,,,,curated,NDA
22,Constituency #22,Madurai,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣47.7 Cr,,0,86.20289200666927,,False,False,,,,,,,,curated,NDA
23,Constituency #23,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣15.5 Cr,,2,90.8979980986559,,False,False,,,,,,,,curated,SPA
23,Constituency #23,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣36.6 Cr,,1,85.63306232316758,,False,False,,,,,,,,curated,SPA
23,Constituency #23,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣12.1 Cr,,0,91.46024908661697,,False,False,,,,,,,,curated,SPA
23,Constituency #23,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣20.0 Cr,,1,94.08414265390614,,False,False,,,,,,,,curated,SPA
24,Constituency #24,Perambalur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣9.7 Cr,,0,86.95548905720605,,False,False,,,,,,,,curated,SPA
24,Constituency #24,Perambalur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣2.1 Cr,,1,86.05582082895522,,False,False,,,,,,,,curated,SPA
24,Constituency #24,Perambalur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣36.0 Cr,,1,87.94627829270084,,False,False,,,,,,,,curated,SPA
24,Constituency #24,Perambalur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣9.6 Cr,,1,88.70265834514018,,False,False,,,,,,,,curated,SPA
25,Constituency #25,Thanjavur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣31.0 Cr,,0,94.07787974188983,,False,False,,,,,,,,curated,NDA
25,Constituency #25,Thanjavur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣24.9 Cr,,1,92.1782164795509,,False,False,,,,,,,,curated,NDA
25,Constituency #25,Thanjavur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣9.2 Cr,,0,87.2208403823021,,False,False,,,,,,,,curated,NDA
25,Constituency #25,Thanjavur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣44.7 Cr,,1,86.37266710508779,,False,False,,,,,,,,curated,NDA
26,Constituency #26,Namakkal,Tamil Nadu,WEST,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣16.0 Cr,,2,86.54776992902634,,False,False,,,,,,,,curated,SPA
26,Constituency #26,Namakkal,Tamil Nadu,WEST,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣21.6 Cr,,1,93.33409815878383,,False,False,,,,,,,,curated,SPA
26,Constituency #26,Namakkal,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣48.5 Cr,,2,92.09785054935102,,False,False,,,,,,,,curated,SPA
26,Constituency #26,Namakkal,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣14.1 Cr,,1,88.71495064103368,,False,False,,,,,,,,curated,SPA
27,Constituency #27,Dharmapuri,Tamil Nadu,WEST,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣21.7 Cr,,1,93.33280906339334,,False,False,,,,,,,,curated,SPA
27,Constituency #27,Dharmapuri,Tamil Nadu,WEST,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣5.0 Cr,,1,91.04500392891329,,False,False,,,,,,,,curated,SPA
27,Constituency #27,Dharmapuri,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣3.5 Cr,,2,91.85656799299083,,False,False,,,,,,,,curated,SPA
27,Constituency #27,Dharmapuri,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣49.8 Cr,,1,86.39597808076446,,False,False,,,,,,,,curated,SPA
28,Constituency #28,Erode,Tamil Nadu,WEST,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣30.9 Cr,,1,89.44988061627546,,False,False,,,,,,,,curated,NDA
28,Constituency #28,Erode,Tamil Nadu,WEST,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣29.3 Cr,,2,89.8081698500986,,False,False,,,,,,,,curated,NDA
28,Constituency #28,Erode,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣32.3 Cr,,0,88.63883373848121,,False,False,,,,,,,,curated,NDA
28,Constituency #28,Erode,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣49.7 Cr,,1,91.23963485233772,,False,False,,,,,,,,curated,NDA
29,Constituency #29,Salem,Tamil Nadu,WEST,SC,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣30.7 Cr,,1,89.29534992137164,,False,False,,,,,,,,curated,SPA
29,Constituency #29,Salem,Tamil Nadu,WEST,SC,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣32.5 Cr,,0,89.48487970702841,,False,False,,,,,,,,curated,SPA
29,Constituency #29,Salem,Tamil Nadu,WEST,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣26.9 Cr,,2,87.52560402044729,,False,False,,,,,,,,curated,SPA
29,Constituency #29,Salem,Tamil Nadu,WEST,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣50.3 Cr,,2,92.64359688086726,,False,False,,,,,,,,curated,SPA
30,Constituency #30,Kallakurichi,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣14.9 Cr,,2,88.23499072698688,,False,False,,,,,,,,curated,SPA
30,Constituency #30,Kallakurichi,Tamil Nadu,NORTH,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣41.0 Cr,,0,86.7113017975807,,False,False,,,,,,,,curated,SPA
30,Constituency #30,Kallakurichi,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣10.3 Cr,,0,88.82579856540734,,False,False,,,,,,,,curated,SPA
30,Constituency #30,Kallakurichi,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣20.9 Cr,,1,86.26152980411416,,False,False,,,,,,,,curated,SPA
31,Constituency #31,Chengalpattu,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣43.5 Cr,,1,89.86329700790785,,False,False,,,,,,,,curated,SPA
31,Constituency #31,Chengalpattu,Tamil Nadu,NORTH,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣31.8 Cr,,1,94.36741465374806,,False,False,,,,,,,,curated,SPA
31,Constituency #31,Chengalpattu,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣7.7 Cr,,1,91.55253403926784,,False,False,,,,,,,,curated,SPA
31,Constituency #31,Chengalpattu,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣7.4 Cr,,1,93.9195546175369,,False,False,,,,,,,,curated,SPA
32,Constituency #32,Ranipet,Tamil Nadu,NORTH,SC,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣25.2 Cr,,1,90.18042377432523,,False,False,,,,,,,,curated,SPA
32,Constituency #32,Ranipet,Tamil Nadu,NORTH,SC,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣23.1 Cr,,2,90.29312612927208,,False,False,,,,,,,,curated,SPA
32,Constituency #32,Ranipet,Tamil Nadu,NORTH,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣27.8 Cr,,2,91.45433012303562,,False,False,,,,,,,,curated,SPA
32,Constituency #32,Ranipet,Tamil Nadu,NORTH,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣27.6 Cr,,0,91.01251150490815,,False,False,,,,,,,,curated,SPA
33,Constituency #33,Chennai,Tamil Nadu,CHENNAI,GEN,SPA Nominee,INC,SPA,False,12th Pass,,,,Γé╣16.4 Cr,,1,88.12280941723859,,False,False,,,,,,,,curated,NDA
33,Constituency #33,Chennai,Tamil Nadu,CHENNAI,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣8.8 Cr,,0,88.086470890169,,False,False,,,,,,,,curated,NDA
33,Constituency #33,Chennai,Tamil Nadu,CHENNAI,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣19.9 Cr,,1,86.88092454146019,,False,False,,,,,,,,curated,NDA
